Jenis_Rumah,Lokasi,Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Harga_Rumah
Rumah,"Tembalang, Semarang",2,1,1,60,30," 300,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,65,30," 300,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,120,32," 300,000,000 "
Rumah,"Genuk, Semarang",2,1,1,60,36," 300,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,72,36," 300,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,84,36," 300,000,000 "
Rumah,"Mijen, Semarang",2,1,1,120,36," 300,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,120,36," 300,000,000 "
Rumah,"Semarang Barat, Semarang",2,1,1,126,36," 300,000,000 "
Rumah,"Banyumanik, Semarang",2,1,1,91,38," 300,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,60,40," 300,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,72,45," 300,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,2,122,45," 300,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,122,45," 300,000,000 "
Rumah,"Semarang Tengah, Semarang",2,2,1,55,60," 300,000,000 "
Rumah,"Genuk, Semarang",2,1,1,72,60," 300,000,000 "
Rumah,"Genuk, Semarang",2,2,1,72,60," 300,000,000 "
Rumah,"Mijen, Semarang",2,1,1,120,60," 300,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,66,66," 300,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,65,70," 300,000,000 "
Rumah,"Genuk, Semarang",2,1,1,72,72," 300,000,000 "
Rumah,"Ngaliyan, Semarang",2,1,1,72,72," 300,000,000 "
Rumah,"Mijen, Semarang",2,1,1,72,72," 300,000,000 "
Rumah,"Genuk, Semarang",2,1,1,98,72," 300,000,000 "
Rumah,"Mijen, Semarang",3,1,1,121,72," 300,000,000 "
Rumah,"Gunung Pati, Semarang",3,1,1,74,74," 300,000,000 "
Rumah,"Mijen, Semarang",2,2,1,96,80," 300,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,82,82," 300,000,000 "
Rumah,"Tugu, Semarang",4,2,1,88,88," 300,000,000 "
Rumah,"Ngaliyan, Semarang",2,1,1,89,89," 300,000,000 "
Rumah,"Pedurungan, Semarang",3,2,1,60,100," 300,000,000 "
Rumah,"Gayamsari, Semarang",4,1,1,110,110," 300,000,000 "
Rumah,"Ngaliyan, Semarang",3,1,1,112,112," 300,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,32,120," 300,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,72,36," 310,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,73,45," 310,000,000 "
Rumah,"Genuk, Semarang",2,1,1,76,76," 310,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,66,36," 315,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,66,39," 315,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,70,45," 315,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,72,30," 320,000,000 "
Rumah,"Semarang Barat, Semarang",2,1,1,72,30," 320,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,120,36," 320,000,000 "
Rumah,"Semarang Timur, Semarang",3,2,1,60,44," 320,000,000 "
Rumah,"Banyumanik, Semarang",2,1,1,67,50," 320,000,000 "
Rumah,"Semarang Barat, Semarang",2,1,1,65,65," 320,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,84,84," 320,000,000 "
Rumah,"Semarang Tengah, Semarang",3,1,1,100,90," 320,000,000 "
Rumah,"Mijen, Semarang",2,1,1,60,106," 320,000,000 "
Rumah,"Mijen, Semarang",2,1,1,60,108," 320,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,120,32," 325,000,000 "
Rumah,"Gajah Mungkur, Semarang",2,1,1,120,32," 325,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,60,36," 325,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,60,36," 325,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,66,36," 325,000,000 "
Rumah,"Genuk, Semarang",2,1,1,70,36," 325,000,000 "
Rumah,"Mijen, Semarang",2,1,1,120,36," 325,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,69,40," 325,000,000 "
Rumah,"Genuk, Semarang",2,1,1,70,40," 325,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,78,45," 325,000,000 "
Rumah,"Banyumanik, Semarang",2,1,1,66,46," 325,000,000 "
Rumah,"Mijen, Semarang",2,1,1,72,54," 325,000,000 "
Rumah,"Semarang Timur, Semarang",3,1,1,83,65," 325,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,77,70," 325,000,000 "
Rumah,"Semarang Timur, Semarang",3,2,1,123,70," 325,000,000 "
Rumah,"Gayamsari, Semarang",2,1,1,72,72," 325,000,000 "
Rumah,"Semarang Timur, Semarang",5,5,1,79,79," 325,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,90,90," 325,000,000 "
Rumah,"Genuk, Semarang",2,1,1,71,36," 326,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,60,36," 329,000,000 "
Rumah,"Mijen, Semarang",2,1,1,72,36," 330,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,120,36," 330,000,000 "
Rumah,"Pedurungan, Semarang",2,1,1,72,45," 330,000,000 "
Rumah,"Semarang Barat, Semarang",2,1,1,120,45," 330,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,82,52," 330,000,000 "
Rumah,"Genuk, Semarang",3,2,1,69,100," 330,000,000 "
Rumah,"Genuk, Semarang",3,1,1,86,100," 330,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,68,36," 335,000,000 "
Rumah,"Semarang Selatan, Semarang",2,1,1,71,36," 335,000,000 "
Rumah,"Banyumanik, Semarang",2,1,1,72,36," 335,000,000 "
Rumah,"Banyumanik, Semarang",2,1,1,79,36," 335,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,2,120,36," 335,000,000 "
Rumah,"Mijen, Semarang",2,1,1,120,36," 335,000,000 "
Rumah,"Gunung Pati, Semarang",2,1,1,120,36," 335,000,000 "
Rumah,"Ngaliyan, Semarang",2,1,1,60,42," 335,000,000 "
Rumah,"Semarang Timur, Semarang",2,1,1,78,48," 335,000,000 "
Rumah,"Gayamsari, Semarang",2,1,1,60,60," 335,000,000 "
Rumah,"Gunung Pati, Semarang",3,2,1,120,60," 335,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,72,65," 335,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,74,36," 336,000,000 "
Rumah,"Tembalang, Semarang",2,1,1,60,36," 340,000,000 "
Rumah,"Banyumanik, Semarang",2,1,1,66,36," 340,000,000 "
